id,title,owner_role,product_id,kind,status,depends_on,outcome
WP-G01,"Bind current roster, scope and existing owners",Portfolio coordinator,,discovery,PLANNED_NOT_CLAIMED,,Produce current ID/name/role/owner and explicit unresolved transitions without mutating repos.
WP-G02,Agree minimal interchange and source-anchor contracts,Schema/integration owners,,design,PLANNED_NOT_CLAIMED,WP-G01,One portable record flow preserves local richer formats and source authority.
WP-G03,Qualify native evidence adapters and failure propagation,Shared QE owner,,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-G02,"Real broken, absent and malformed cases fail through the final gate."
WP-G04,Resolve shared source and clean dependency boundaries,Foundation integration owner,,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source/API-equivalent clean consumer builds establish actual authoritative packages.
WP-G05,Establish semantic indexing adapter baseline,Indexing owner,,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-G02,Actual source/profile inventory has explicit supported and unknown coverage.
WP-G06,Standardize comparative protocols and controlled fixtures,Independent evaluation owner,,verification,PLANNED_NOT_CLAIMED,WP-G02,A positive/negative comparative canary demonstrates fair outcomes and retained failures.
WP-G07,Audit and propose useful topic facets,Portfolio catalog owner,,discovery,PLANNED_NOT_CLAIMED,WP-G01,"Before/after facet map is useful, accurate and permission-neutral."
WP-G08,Recover SROC/CDP contract without invention,Coordinator/terminology owner,,discovery,PLANNED_NOT_CLAIMED,WP-G01,Either exact authoritative definitions are mapped or ambiguity remains explicit; no unrelated work blocked.
WP-G09,Qualify private capture and actual package proof,Release/media QE owners,,verification,PLANNED_NOT_CLAIMED,WP-G03,One real CLI and one actual GUI profile produce truthful private raw/public derivative proof.
WP-G10,Measure contention and admit scarce execution resources,Runtime/operator owner,,verification,PLANNED_NOT_CLAIMED,WP-G01,Actual foreground protection and bounded job admission are proved.
WP-G11,Make adoption and state-delta reporting incremental,Product-model/catalog owners,,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-G02,"Integrated, verified, released and installed states are distinct and source-bound."
WP-G12,Adjudicate first completed product/replacement outcome,Independent portfolio reviewer,,review,PLANNED_NOT_CLAIMED,WP-G06,"Evidence decides retain, adopt, patch, wrap or further research without invented superiority."
WP-T01,Product/schema and integration lead,Tracera seat 01,PRD-TRACERA,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-G02,One accepted persistent product-model contract and integration plan; ALM is subordinate.
WP-T02,Source inventory/indexing adapters,Tracera seat 02,PRD-TRACERA,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-T01;WP-G05,Real indexed product with supported/unknown edges and stable anchors.
WP-T03,Intent/specification ingestion,Tracera seat 03,PRD-TRACERA,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-T01,Source-linked intent with supersession and conflicting claims preserved.
WP-T04,Persistent model and reconciliation,Tracera seat 04,PRD-TRACERA,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-T01,Transactional import/restart/export preserves model and source authority.
WP-T05,Impact and dissatisfaction analysis,Tracera seat 05,PRD-TRACERA,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-T02;WP-T03;WP-T04,Seeded actual gaps discovered with false positives/unknowns explicitly evaluated.
